username,judul video,text,tanggal publish,clean_comment,comment_no_slang,Sentimen,comment_final
@wawankarnawan5150,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Nonton video pake Iphone 16 basix,2025-07-14T10:50:22Z,nonton video pake iphone 16 basix,nonton video pakai iphone 16 basix,1.0,nonton video pakai iphone 16 basix
@ilhamwisnu6575,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Kalo misal beli di SGP terus bawa indo kan bayar pajak tuh. Bisa di pasang SIM card ga sih bang?,2025-07-14T05:14:01Z,kalo misal beli di sgp terus bawa indo kan bayar pajak tuh bisa di pasang sim card ga sih bang,kalau misal beli di singapura lalu bawa indonesia kan bayar pajak tuh bisa di pasang sim card tidak sih bang,3.0,kalau misal beli singapura bawa Indonesia kan bayar pajak tuh pasang sim card sih bang
@shabiraAlma,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Bang HP bekas review dijual gak sih 😂,2025-07-12T13:12:29Z,bang hp bekas review dijual gak sih,bang hp bekas review dijual tidak sih,3.0,bang hp bekas review dijual sih
@muhamadrafliirzadilla4325,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Amin gift me magic @apple for content,2025-07-07T18:03:45Z,amin gift me magic apple for content,amin gift saya magic apple for content,3.0,amin gift magic apple for content
@Pepekz-b4k5t,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Gua udah beli Pc dan hp iPhone 16 pro max,2025-06-27T06:06:51Z,gua udah beli pc dan hp iphone 16 pro max,saya sudah beli pc dan hp iphone 16 pro max,1.0,ssudah beli pc hp iphone 16 pro max
@Evacino_kw,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,dari dlu pgn beli ip tp belom kesampaian 😢😢😢,2025-06-21T08:43:21Z,dari dlu pgn beli ip tp belom kesampaian,dari dulu ingin beli iphone tapi belum kesampaian,3.0,dulu ingin beli iphone tapi belum kesampaian
@ogiastora1307,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,menit 5:12 apa telinga gue salah dengar bg david :),2025-06-08T13:45:29Z,menit 5 12 apa telinga gue salah dengar bg david,menit 5 12 apa telinga saya salah dengar bang david,3.0,menit 5 12 telinga salah dengar bang david
@ibrahimmalik-c5e,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Bang David, mau tanya kamu pake charger ugreen?",2025-05-25T00:47:56Z,bang david mau tanya kamu pake charger ugreen,bang david mau tanya kamu pakai charger ugreen,3.0,bang david mau tanya pakai charger ugreen
@illy2517,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"16pm 14pm gue megang keduanya , kata gue gt gt aja kalo hape mah 😅",2025-05-22T02:55:40Z,16pm 14pm gue megang keduanya kata gue gt gt aja kalo hape mah,16 pro max 14 pro max saya pakai keduanya kata saya gitu gitu aja kalau hp mah,1.0,16 pro max 14 pro max pakai keduanya kata gitu gitu aja kalau hp mah
@abubakarbalfaqih3843,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,minta rekom dong para suhu. untuk adpter charger selain original SEIN atau sebutan pihak ke 3 merk apa yg workit buat jangka panjang. lagi bingung nih hehe,2025-05-12T09:13:21Z,minta rekom dong para suhu untuk adpter charger selain original sein atau sebutan pihak ke 3 merk apa yg workit buat jangka panjang lagi bingung nih hehe,minta rekomendasi dong para suhu untuk adapter charger selain original sein atau sebutan pihak ke 3 merk apa yang worth it buat jangka panjang lagi bingung nih hehe,3.0,minta rekomendasi dong para suhu adapter charger selain original sein sebutan pihak 3 merk worth it buat jangka panjang bingung nih hehe
@faizalcahsono25,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,@gadgetin bang tapi disitu gak ada tulisan made in china ya kaya yg masuk ke Indonesia  ?,2025-05-12T09:02:05Z,gadgetin bang tapi disitu gak ada tulisan made in china ya kaya yg masuk ke indonesia,gadgetin bang tapi disitu tidak ada tulisan made in china ya seperti yang masuk ke indonesia,2.0,gadgetin bang tapi disitu ada tulisan made in china ya masuk Indonesia
@ReimonWell,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Semoga saya bisa sukses dari ngonten..,2025-05-12T04:11:24Z,semoga saya bisa sukses dari ngonten,semoga saya bisa sukses dari ngonten,3.0,semoga sukses ngonten
@RahmanSusantoy,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Mudah""an bisa beli 16 por max thn depan",2025-04-30T10:34:19Z,mudah an bisa beli 16 por max thn depan,msudah an bisa beli 16 pro max tahun depan,1.0,msudah an beli 16 pro max tahun depan
@halidasjamsoedin4822,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Najis hp dajjal itu,2025-04-20T23:40:39Z,najis hp dajjal itu,najis hp dajjal itu,2.0,najis hp dajjal
@vidiparetta924,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Bang mau tanya akun icloud apa bisa digunakan di dua hp ya..
Makasih bang..🙏🏻",2025-04-17T11:16:27Z,bang mau tanya akun icloud apa bisa digunakan di dua hp ya makasih bang,bang mau tanya sayan icloud apa bisa digunakan di dua hp ya makasih bang,3.0,bang mau tanya sayan icloud digunakan dua hp ya makasih bang
