username,judul video,text,tanggal publish,clean_comment,comment_no_slang,Sentimen
@wawankarnawan5150,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Nonton video pake Iphone 16 basix,2025-07-14T10:50:22Z,nonton video pake iphone 16 basix,nonton video pakai iphone 16 basic,1
@ilhamwisnu6575,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Kalo misal beli di SGP terus bawa indo kan bayar pajak tuh. Bisa di pasang SIM card ga sih bang?,2025-07-14T05:14:01Z,kalo misal beli di sgp terus bawa indo kan bayar pajak tuh bisa di pasang sim card ga sih bang,kalau misal beli di singapura lalu bawa indonesia kan bayar pajak tuh bisa di pasang sim card tidak sih bang,3
@shabiraAlma,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Bang HP bekas review dijual gak sih 😂,2025-07-12T13:12:29Z,bang hp bekas review dijual gak sih,bang hp bekas review dijual tidak sih,3
@muhamadrafliirzadilla4325,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Amin gift me magic @apple for content,2025-07-07T18:03:45Z,amin gift me magic apple for content,amin gift saya magic apple for content,3
@Pepekz-b4k5t,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Gua udah beli Pc dan hp iPhone 16 pro max,2025-06-27T06:06:51Z,gua udah beli pc dan hp iphone 16 pro max,saya sudah beli pc dan hp iphone 16 pro max,1
@Evacino_kw,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,dari dlu pgn beli ip tp belom kesampaian 😢😢😢,2025-06-21T08:43:21Z,dari dlu pgn beli ip tp belom kesampaian,dari dulu ingin beli iphone tapi belum kesampaian,3
@ogiastora1307,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,menit 5:12 apa telinga gue salah dengar bg david :),2025-06-08T13:45:29Z,menit 5 12 apa telinga gue salah dengar bg david,menit 5 12 apa telinga saya salah dengar bang david,3
@ibrahimmalik-c5e,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Bang David, mau tanya kamu pake charger ugreen?",2025-05-25T00:47:56Z,bang david mau tanya kamu pake charger ugreen,bang david mau tanya kamu pakai charger ugreen,3
@illy2517,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"16pm 14pm gue megang keduanya , kata gue gt gt aja kalo hape mah 😅",2025-05-22T02:55:40Z,16pm 14pm gue megang keduanya kata gue gt gt aja kalo hape mah,16 pro max 14 pro max saya pakai keduanya kata saya gitu gitu aja kalau hp mah,1
@abubakarbalfaqih3843,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,minta rekom dong para suhu. untuk adpter charger selain original SEIN atau sebutan pihak ke 3 merk apa yg workit buat jangka panjang. lagi bingung nih hehe,2025-05-12T09:13:21Z,minta rekom dong para suhu untuk adpter charger selain original sein atau sebutan pihak ke 3 merk apa yg workit buat jangka panjang lagi bingung nih hehe,minta rekomendasi dong para suhu untuk adapter charger selain original sein atau sebutan pihak ke 3 merk apa yang worth it buat jangka panjang lagi bingung nih hehe,3
