username,judul video,text,tanggal publish
@wawankarnawan5150,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Nonton video pake Iphone 16 basix,2025-07-14T10:50:22Z
@ilhamwisnu6575,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Kalo misal beli di SGP terus bawa indo kan bayar pajak tuh. Bisa di pasang SIM card ga sih bang?,2025-07-14T05:14:01Z
@shabiraAlma,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Bang HP bekas review dijual gak sih 😂,2025-07-12T13:12:29Z
@muhamadrafliirzadilla4325,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Amin gift me magic @apple for content,2025-07-07T18:03:45Z
@Pepekz-b4k5t,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Gua udah beli Pc dan hp iPhone 16 pro max,2025-06-27T06:06:51Z
@Evacino_kw,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,dari dlu pgn beli ip tp belom kesampaian 😢😢😢,2025-06-21T08:43:21Z
@ogiastora1307,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,menit 5:12 apa telinga gue salah dengar bg david :),2025-06-08T13:45:29Z
@ibrahimmalik-c5e,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Bang David, mau tanya kamu pake charger ugreen?",2025-05-25T00:47:56Z
@illy2517,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"16pm 14pm gue megang keduanya , kata gue gt gt aja kalo hape mah 😅",2025-05-22T02:55:40Z
@abubakarbalfaqih3843,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,minta rekom dong para suhu. untuk adpter charger selain original SEIN atau sebutan pihak ke 3 merk apa yg workit buat jangka panjang. lagi bingung nih hehe,2025-05-12T09:13:21Z
@faizalcahsono25,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,@gadgetin bang tapi disitu gak ada tulisan made in china ya kaya yg masuk ke Indonesia  ?,2025-05-12T09:02:05Z
@ReimonWell,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Semoga saya bisa sukses dari ngonten..,2025-05-12T04:11:24Z
@RahmanSusantoy,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Mudah""an bisa beli 16 por max thn depan",2025-04-30T10:34:19Z
@halidasjamsoedin4822,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Najis hp dajjal itu,2025-04-20T23:40:39Z
@vidiparetta924,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Bang mau tanya akun icloud apa bisa digunakan di dua hp ya..
Makasih bang..🙏🏻",2025-04-17T11:16:27Z
@jokobudi4114,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Masih menjadi mimpi punya iphone 16😂😂😂😂,2025-04-15T05:55:12Z
@Aulien137,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Baru dateng barangnya wkwk. Sama sama biru. Buat kado sih, semoga suka 🥲",2025-04-14T13:49:20Z
@errr2786,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Izin tanya brati kalo pake ip 16 basic itu pake adaptor 20 watt aja ya ?,2025-04-13T06:56:43Z
@VARSYAH160,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Request hp keluaran terbaru 2025,2025-04-06T00:49:27Z
@FatimahWardatulaulia-iu1zd,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Keren,2025-04-04T16:52:14Z
@SukaJajan1908,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Kira2 brp hayo cukainya 😅😅,2025-04-02T09:10:49Z
@ImadeImaderakajuliantara,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Hiii  bantu jawab teman teman mohon banget infonya kalok beli iphone luar negri itu materialnya sama dengan di indo apa beda? Mohon bantuannya,2025-03-28T02:10:43Z
@slametbudiraharja9813,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Semoga yang belum punya iPhone segera ke beli aamiin,2025-03-21T00:35:13Z
@lialidia-e8p,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Kelas elite...emaknya masih make balao 😂...keren bang warnanya ..I like it,2025-03-18T01:41:34Z
@mahyudipitusongo4891,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"stlh diunboxing hpnya diapain bang, masa iya dipake semua 😁",2025-03-12T11:34:25Z
@Yaya0853,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Cuma bisa mengkhayal😊,2025-03-11T15:04:39Z
@user-pn1nj6kt3d,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Alhamdulillah nonton pake 14 pro ibox deep purple ❤❤❤,2025-03-10T05:00:47Z
@mamahriyan681,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,semoga suatu saat bisa beli 🤲,2025-03-10T00:40:10Z
@rickynoor8453,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,buang duit 45 juta beli hp   nga mikir !,2025-03-09T17:11:41Z
@SisiRisa-n9z,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Bikin nagih dan mantap ngegas di tempat resmi, langsung dikasih, yang pasti cuma di BAN SOS BET!",2025-03-08T14:12:52Z
@ruparupachannel8929,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Alhamdulillah yang biasanya tim nonton doang ga beli
Saat nonton ni udah pake ip 15 base model

Bersyukur mudah mudahan awet smpe generasi ip 25 😊",2025-02-27T12:47:33Z
